Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
160,Alkhatiya,Namunz,Yemen Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,6232,1084.8,568.3,-58.68,105.13,16,5°C,Harbin (China),,,,,plaza,,,{t1:or;charges:[{charge:crossHummetty;t:azure;p:jln;size:0.7}];shield:roman},https://watabou.github.io/city-generator/?name=Alkhatiya&population=6232&size=26&seed=8820546000160&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
161,Dornschwei,Neuchsia,Neuchsia Province,Nosland,United Kingdom of Nosland,Weisin,Mystra,towns,1774,614.12,217.56,33.08,-18.02,36,15°C,Rome (Italy),,,citadel,,plaza,,,{t1:or;charges:[{charge:crossFitchy;t:gules;p:e;size:1.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Dornschwei&population=1774&size=16&seed=8820546000161&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
162,Ejimijida,Seto,Seto Province,Yugure,Empire of Yugure,Shin,Pelor,towns,6255,1163.2,299.92,11.53,125.64,81,26°C,Jakarta (Indonesia),,port,,,plaza,,,{t1:argent;ordinaries:[{ordinary:chief;t:gules;line:straight}];charges:[{charge:lozengeFaceted;t:argent;p:abc;size:0.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Ejimijida&population=6255&size=26&seed=8820546000162&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=1.17
163,Shimimate,Seto,Seto Province,Yugure,Empire of Yugure,Shin,Pelor,towns,3020,1195.65,325.64,4.8,134.13,4,29°C,Niamey (Niger),,,citadel,walls,plaza,,,{t1:argent;charges:[{charge:fly;t:azure;p:e;t2:azure;t3:azure;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Shimimate&population=3020&size=20&seed=8820546000163&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
164,Birtenkirch,Osinbach,Osinbach Province,Nosland,United Kingdom of Nosland,Weisin,Tyr,towns,1714,323.63,355.27,-2.95,-94.03,4,29°C,Niamey (Niger),,port,,,plaza,,,{t1:purpure;charges:[{charge:mullet;t:argent;p:abcdefgzi;size:0.3}];shield:pavise},https://watabou.github.io/city-generator/?name=Birtenkirch&population=1714&size=16&seed=8820546000164&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=0.64
165,Lofors,Krist,Krist Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,towns,1494,586.3,370.9,-7.04,-25.3,9,29°C,Niamey (Niger),,,,,plaza,,,{t1:azure;division:{division:perPile;t:or;line:escartely};charges:[{charge:lozenge;t:argent;p:jleh;divided:counter;size:0.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Lofors&population=1494&size=15&seed=8820546000165&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
166,Raureyri,Lautokeria,Lautokeria Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Selûne,towns,1172,284.7,449,-27.47,-104.21,25,23°C,Rio de Janeiro (Brazil),,,,walls,plaza,,,{t1:or;ordinaries:[{ordinary:terrace;t:gules;line:straight}];charges:[{charge:billet;t:gules;p:bdf;size:0.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Raureyri&population=1172&size=14&seed=8820546000166&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
167,Hovinopas,Lautokeria,Lautokeria Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Selûne,towns,11996,345.78,511.21,-43.75,-88.23,81,12°C,Paris (France),,,,,plaza,,,{t1:or;charges:[{charge:heart;t:vert;p:jlh;size:0.7}];shield:spanish},https://watabou.github.io/city-generator/?name=Hovinopas&population=11996&size=33&seed=8820546000167&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
168,Trelmoen,Lautokeria,Lautokeria Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Selûne,towns,1546,268.77,520.1,-46.07,-108.38,196,11°C,Antwerp (Belgium),,,,,plaza,,,{t1:gules;ordinaries:[{ordinary:bendSinister;t:argent;line:embattledGhibellin}];charges:[{charge:buckle;t:gules;p:e;size:0.7}];shield:spanish},https://watabou.github.io/city-generator/?name=Trelmoen&population=1546&size=15&seed=8820546000168&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
169,Mina,Nisho,Korika Province,Yugure,Empire of Yugure,Shin,Pelor,towns,8489,788.4,220.2,32.39,27.58,81,14°C,Washington (D.C.),,,,walls,plaza,,,{t1:argent;charges:[{charge:scissors2;t:gules;p:e;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Mina&population=8489&size=29&seed=8820546000169&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
170,Kigashira,Seto,Seto Province,Yugure,Empire of Yugure,Shin,Pelor,towns,8174,1238.48,249.96,24.6,145.34,4,21°C,Tegucigalpa (Honduras),,,,walls,plaza,,,{t1:or;charges:[{charge:monk;t:azure;p:kn;size:0.7}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Kigashira&population=8174&size=29&seed=8820546000170&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
171,Teitern,Aiburg,Aiburg Province,Nosland,United Kingdom of Nosland,Weisin,Mystra,towns,1092,326.26,286.28,15.1,-93.34,16,27°C,Mogadishu (Somalia),,,,,,,,{t1:gules;ordinaries:[{ordinary:fessCotissed;t:or;line:straight}];charges:[{charge:windmill;t:vert;p:def;t2:vert;t3:argent;size:0.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Teitern&population=1092&size=13&seed=8820546000171&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
172,Dunberg,Schapfheimia,Schapfheimia Province,Nosland,United Kingdom of Nosland,Weisin,Pelor,towns,8789,530.8,290.9,13.89,-39.82,144,26°C,Jakarta (Indonesia),,,,,plaza,,,{t1:azure;division:{division:perCross;t:or;line:embattled};charges:[{charge:crossSantiago;t:argent;p:j;size:0.6};{charge:dragonPassant;t:gules;p:l;size:0.6};{charge:heart;t:gules;p:m;size:0.6};{charge:boat2;t:argent;p:o;size:0.6}];shield:pavise},https://watabou.github.io/city-generator/?name=Dunberg&population=8789&size=29&seed=8820546000172&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
173,Shiki,Kobe,Kobe Prefecture,Yugure,Empire of Yugure,Shin,Pelor,towns,11546,840.8,310.5,8.76,41.29,4,28°C,Bangkok (Thailand),,,,,plaza,,,{t1:argent;division:{division:perFess;t:purpure;line:wavy};charges:[{charge:laurelWreath2;t:vert;p:k;size:0.7};{charge:crossCeltic2;t:argent;p:n;size:0.7}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Shiki&population=11546&size=33&seed=8820546000173&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
174,Toramigamo,Seto,Seto Province,Yugure,Empire of Yugure,Shin,Pelor,towns,7364,1201.2,347.8,-0.99,135.58,4,29°C,Niamey (Niger),,,,walls,plaza,,,{t1:argent;charges:[{charge:dragonRampant;t:azure;p:e;t2:azure;t3:sable;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Toramigamo&population=7364&size=28&seed=8820546000174&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
175,Sodones,Krist,Krist Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Mystra,towns,1309,601,381.4,-9.78,-21.45,676,24°C,Dakar (Senegal),,,,,plaza,,,{t1:azure;ordinaries:[{ordinary:chief;t:or;line:straight}];charges:[{charge:wolfPassant;t:sable;p:abc;t2:sable;t3:argent;size:0.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Sodones&population=1309&size=14&seed=8820546000175&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
176,Hano,Kokura,Kokura Province,Yugure,Empire of Yugure,Shin,Pelor,towns,1137,1006.61,393.7,-13,84.67,4,28°C,Bangkok (Thailand),,,,,plaza,,,{t1:bendySinister-gules-argent;division:{division:perCross;t:or;line:straight};shield:oldFrench},https://watabou.github.io/city-generator/?name=Hano&population=1137&size=14&seed=8820546000176&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
177,Fasar,Liyah,Liyah Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,1186,1178.46,432.18,-23.07,129.63,36,25°C,Miami (USA),,,,,plaza,,,{t1:potentInPale-argent-gules;division:{division:perPale;t:vert;line:straight};shield:roman},https://watabou.github.io/city-generator/?name=Fasar&population=1186&size=14&seed=8820546000177&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
178,Rustten,,,Nosland,United Kingdom of Nosland,Weisin,Tiamat,towns,12976,212.6,443.8,-26.11,-123.08,4,24°C,Dakar (Senegal),,,,,plaza,,,{t1:purpure;ordinaries:[{ordinary:pale;t:or;line:rayonne}];charges:[{charge:wyvernWithWingsDisplayed;t:azure;p:b;t2:argent;t3:argent;size:0.7}];shield:pavise},https://watabou.github.io/city-generator/?name=Rustten&population=12976&size=34&seed=8820546000178&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
179,Ghran,Tabratoria,Oman Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,5196,1030.52,448.39,-27.31,90.93,25,23°C,Rio de Janeiro (Brazil),,,,,plaza,,,{t1:purpure;ordinaries:[{ordinary:pall;t:argent}];charges:[{charge:crescent;t:purpure;p:jleh;size:0.5}];shield:roman},https://watabou.github.io/city-generator/?name=Ghran&population=5196&size=24&seed=8820546000179&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
180,Alkhan,Liyah,Liyah Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,18951,1180.3,455.8,-29.25,130.11,49,23°C,Rio de Janeiro (Brazil),,,,,,,,{t1:argent;charges:[{charge:castle;t:purpure;p:e;t2:purpure;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Alkhan&population=18951&size=39&seed=8820546000180&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
181,Logenland,Lautokeria,Lautokeria Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Selûne,towns,6423,341.3,462.6,-31.03,-89.4,36,21°C,Tegucigalpa (Honduras),,,,,plaza,,,{t1:masoned-argent-sable;division:{division:perBend;t:vert;line:straight};ordinaries:[{ordinary:pale;t:azure;line:straight}];shield:spanish},https://watabou.github.io/city-generator/?name=Logenland&population=6423&size=26&seed=8820546000181&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
182,Fuwaidrak,Tabratoria,Oman Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,3453,1019.99,455.24,-29.1,88.17,36,21°C,Tegucigalpa (Honduras),,port,,,plaza,,,{t1:or;division:{division:perFess;t:azure;line:straight};shield:roman},https://watabou.github.io/city-generator/?name=Fuwaidrak&population=3453&size=21&seed=8820546000182&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=0.47
183,Jedrakhen,Liyah,Liyah Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,20324,1186.76,477.39,-34.9,131.8,4,18°C,Barcelona (Spain),,,citadel,walls,plaza,,shanty town,{t1:sable;division:{division:perFess;t:or;line:nowy};charges:[{charge:key;t:argent;p:ABCDEFGHIJKL;divided:counter;size:0.18}];shield:roman},https://watabou.github.io/city-generator/?name=Jedrakhen&population=20324&size=40&seed=8820546000183&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=1&style=natural
184,Shaga,Shinawa,Shinawa Province,Yugure,Empire of Yugure,Shin,Pelor,towns,6954,736.25,111.18,60.91,13.93,4,-5°C,Snag (Yukon),,,,,plaza,,,{t1:argent;division:{division:perFess;t:sable;line:straight};charges:[{charge:angel;t:purpure;p:k;t2:purpure;size:0.7};{charge:flangedMace;t:or;p:n;size:0.7}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Shaga&population=6954&size=27&seed=8820546000184&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
185,Naberg,Neuchsia,Neuchsia Province,Nosland,United Kingdom of Nosland,Weisin,Pelor,towns,13136,487.75,129.64,56.08,-51.09,64,-2°C,Fairbanks (Alaska),,,,,plaza,,,{t1:or;division:{division:perFess;t:azure;line:embattledGhibellin};charges:[{charge:greyhoundSejant;t:purpure;p:giz;t2:purpure;t3:purpure;divided:counter;size:0.4}];shield:pavise},https://watabou.github.io/city-generator/?name=Naberg&population=13136&size=34&seed=8820546000185&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=1&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
186,Togehona,Sarajira,Sarajira Province,Yugure,Empire of Yugure,Shin,Pelor,towns,2884,1030.02,160.83,47.92,90.79,4,3°C,Tromsø (Norway),,,,walls,plaza,,,{t1:argent;ordinaries:[{ordinary:bendlet;t:gules;line:straight}];charges:[{charge:salmon;t:argent;p:joe;t2:argent;size:0.3}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Togehona&population=2884&size=19&seed=8820546000186&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
187,Tieden,Neuchsia,Neuchsia Province,Nosland,United Kingdom of Nosland,Weisin,Selûne,towns,1730,439.97,177.1,43.67,-63.59,225,6°C,Stockholm (Sweden),,,,,plaza,,,{t1:argent;ordinaries:[{ordinary:pale;t:azure;line:straight}];charges:[{charge:crossTau;t:gules;p:y;size:0.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Tieden&population=1730&size=16&seed=8820546000187&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
188,Kakasama,Kanu,Kanu Province,Yugure,Empire of Yugure,Shin,Pelor,towns,18697,1153.83,187.67,40.9,123.19,49,9°C,Copenhagen (Denmark),,port,,,plaza,,,{t1:azure;division:{division:perCross;t:potentEnPointe-argent-purpure;line:straight};ordinaries:[{ordinary:pale;t:or;line:straight}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Kakasama&population=18697&size=39&seed=8820546000188&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=0.18
189,Mutsura,Matsuno,Matsuno Province,Yugure,Empire of Yugure,Shin,Pelor,towns,1392,1168.82,206.49,35.98,127.11,4,13°C,Milan (Italy),,port,,,plaza,,,{t1:or;ordinaries:[{ordinary:fess;t:sable;line:engrailed}];charges:[{charge:anchor;t:or;p:def;size:0.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Mutsura&population=1392&size=15&seed=8820546000189&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=2
190,Acheriedbad,Aiburg,Aiburg Province,Nosland,United Kingdom of Nosland,Weisin,Selûne,towns,3701,371.2,221.6,32.02,-81.58,16,15°C,Rome (Italy),,,citadel,,,,,{t1:argent;charges:[{charge:fleurDeLis;t:azure;p:abcdefgzi;size:0.3}];shield:pavise},https://watabou.github.io/city-generator/?name=Acheriedbad&population=3701&size=21&seed=8820546000190&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
191,Herwolden,Schapfheimia,Schapfheimia Province,Nosland,United Kingdom of Nosland,Weisin,Pelor,towns,7861,574.8,251.2,24.28,-28.31,64,21°C,Tegucigalpa (Honduras),,,,,,,,{t1:argent;ordinaries:[{ordinary:fess;t:gules;line:engrailed}];charges:[{charge:anchor;t:or;p:def;size:0.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Herwolden&population=7861&size=28&seed=8820546000191&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
192,Sumiminabu,Matsuno,Matsuno Province,Yugure,Empire of Yugure,Shin,Pelor,towns,4439,1142.45,256.91,22.79,120.21,25,22°C,Guangzhou (China),,,,walls,plaza,,,{t1:azure;charges:[{charge:pillar;t:or;p:e;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Sumiminabu&population=4439&size=23&seed=8820546000192&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
193,Otsurama,Nishiwa,Nishiwa Province,Yugure,Empire of Yugure,Shin,Pelor,towns,10470,1027.33,270.07,19.34,90.09,81,23°C,Rio de Janeiro (Brazil),,port,,,plaza,,,{t1:argent;ordinaries:[{ordinary:bar;t:purpure;line:straight}];charges:[{charge:crossMaltese;t:purpure;p:jlh;size:0.7}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Otsurama&population=10470&size=31&seed=8820546000193&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=0.06
194,Mizen,Mitonohe,Mitonohe Prefecture,Yugure,Empire of Yugure,Shin,Pelor,towns,5147,882.26,280.04,16.73,52.13,9,27°C,Mogadishu (Somalia),,port,,,plaza,,,{t1:semy_of_fleurDeLis-or-purpure;division:{division:perPale;t:azure;line:straight};ordinaries:[{ordinary:pale;t:gules;line:straight}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Mizen&population=5147&size=24&seed=8820546000194&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=1.86
195,Ofenweisen,Schapfheimia,Schapfheimia Province,Nosland,United Kingdom of Nosland,Weisin,Pelor,towns,6251,522.37,295.25,12.75,-42.03,144,26°C,Jakarta (Indonesia),,port,citadel,,plaza,,,{t1:gules;division:{division:perFess;t:or;line:straight};charges:[{charge:lymphad;t:argent;p:e;t2:argent;t3:argent;divided:counter;size:1.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Ofenweisen&population=6251&size=26&seed=8820546000195&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=1.64
196,Hohin,Schapfheimia,Schapfheimia Province,Nosland,United Kingdom of Nosland,Weisin,Mystra,towns,7308,561.5,301.7,11.07,-31.79,16,27°C,Mogadishu (Somalia),,,,,plaza,,,{t1:or;charges:[{charge:scissors2;t:gules;p:e;size:1.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Hohin&population=7308&size=27&seed=8820546000196&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
197,Gonai,Kama,Kama Province,Yugure,Empire of Yugure,Shin,Pelor,towns,2668,1063.69,291.39,13.76,99.6,9,27°C,Mogadishu (Somalia),,,,walls,plaza,,,{t1:gules;division:{division:perFess;t:argent;line:straight};ordinaries:[{ordinary:pale;t:or;line:straight}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Gonai&population=2668&size=19&seed=8820546000197&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
198,Glatnau,Schapfheimia,Schapfheimia Province,Nosland,United Kingdom of Nosland,Weisin,Mystra,towns,6031,573.82,308.41,9.31,-28.57,9,28°C,Bangkok (Thailand),,,,,plaza,,,{t1:or;division:{division:perChevronReversed;t:sable;line:straight};charges:[{charge:archer;t:azure;p:e;t2:azure;t3:vert;size:1.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Glatnau&population=6031&size=26&seed=8820546000198&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
199,Tonan,Kobe,Kobe Prefecture,Yugure,Empire of Yugure,Shin,No religion,towns,19149,730.19,330.23,3.6,12.35,36,29°C,Niamey (Niger),,,,,,,,{t1:sable;division:{division:perChevron;t:argent;line:engrailed};charges:[{charge:pique;t:or;p:dfbh;divided:counter;size:0.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Tonan&population=19149&size=40&seed=8820546000199&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
200,Shin,Seto,Seto Province,Yugure,Empire of Yugure,Shin,Pelor,towns,2302,1213.1,340,1.05,138.7,16,29°C,Niamey (Niger),,,,,plaza,,,{t1:sable;charges:[{charge:archer;t:or;p:e;t2:argent;t3:or;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Shin&population=2302&size=18&seed=8820546000200&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
201,Sora,Kokura,Kokura Province,Yugure,Empire of Yugure,Shin,Pelor,towns,1932,1001.49,341.25,0.72,83.33,64,29°C,Niamey (Niger),,port,,,,,,{t1:gules;charges:[{charge:lionPassantGuardant;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Sora&population=1932&size=17&seed=8820546000201&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.44
202,Joraibar,Bisqah,Bisqah Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,14279,1073.54,339.74,1.11,102.18,144,28°C,Bangkok (Thailand),,port,citadel,walls,plaza,,,{t1:gules;ordinaries:[{ordinary:pileInBend;t:argent}];charges:[{charge:drakkar;t:azure;p:eo;t2:azure;t3:or;size:0.5}];shield:roman},https://watabou.github.io/city-generator/?name=Joraibar&population=14279&size=35&seed=8820546000202&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=1&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural&sea=0.39
203,Kebaarar,Bisqah,Bisqah Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,9665,1190.5,377.2,-8.69,132.78,4,28°C,Bangkok (Thailand),,,,walls,plaza,temple,shanty town,{t1:masoned-gules-argent;division:{division:perPale;t:fretty-sable-or;line:straight};shield:roman},https://watabou.github.io/city-generator/?name=Kebaarar&population=9665&size=31&seed=8820546000203&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=1&walls=1&shantytown=1&style=natural
204,Okropa,Kansveria,Kansveria Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Tyr,towns,5147,515.43,378.87,-9.12,-43.84,25,28°C,Bangkok (Thailand),,,,,plaza,,,{t1:argent;charges:[{charge:helmetZischagge;t:azure;p:e;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Okropa&population=5147&size=24&seed=8820546000204&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
205,Faqah,Bisqah,Bisqah Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,15607,1068.96,394.97,-13.34,100.98,36,28°C,Bangkok (Thailand),,,,,plaza,,,{t1:sable;ordinaries:[{ordinary:chevron;t:or}];charges:[{charge:crossFleury;t:gules;p:h;size:0.5}];shield:roman},https://watabou.github.io/city-generator/?name=Faqah&population=15607&size=37&seed=8820546000205&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
206,Koronankai,Kokura,Kokura Province,Yugure,Empire of Yugure,Shin,Pelor,towns,13604,976.7,403.33,-15.52,76.84,25,27°C,Mogadishu (Somalia),,,,,plaza,,,{t1:purpure;ordinaries:[{ordinary:terrace;t:argent;line:dentilly}];charges:[{charge:key;t:or;p:e;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Koronankai&population=13604&size=35&seed=8820546000206&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
207,Daha,Liyah,Liyah Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,1147,1125.59,416,-18.84,115.8,64,27°C,Mogadishu (Somalia),,,,,,,,{t1:sable;ordinaries:[{ordinary:pale;t:or;line:indented}];charges:[{charge:lute;t:argent;p:y;t2:argent;size:0.5}];shield:roman},https://watabou.github.io/city-generator/?name=Daha&population=1147&size=14&seed=8820546000207&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
208,Silsoyri,Kansveria,Kansveria Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Tyr,towns,13940,439.04,426.71,-21.64,-63.83,16,27°C,Mogadishu (Somalia),,port,,walls,plaza,,,{t1:argent;charges:[{charge:lymphad;t:gules;p:e;t2:gules;t3:sable;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Silsoyri&population=13940&size=35&seed=8820546000208&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=1&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural&sea=1.46
209,Austrond,Kansveria,Kansveria Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Tyr,towns,1754,365.67,430.58,-22.65,-83.03,49,25°C,Miami (USA),,port,,walls,plaza,,,{t1:argent;division:{division:perBendSinister;t:sable;line:archedReversed};charges:[{charge:shipWheel;t:gules;p:j;size:0.7};{charge:flamberge;t:or;p:o;size:0.7}];shield:spanish},https://watabou.github.io/city-generator/?name=Austrond&population=1754&size=16&seed=8820546000209&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural&sea=0.75
